POSTCODE,2018Meter,2018Total,2018Mean,2018Medium,2019Meter,2019Total,2019Mean,2019Medium,2020Meter,2020Total,2020Mean,2020Medium,,
DY,160882,567537231.3,3527.661462,3128.840626,162221,568058994.1,3501.759908,3108.403266,163619,600620086.3,3670.8456,3215.811996,,
E,371663,1160572329,3122.646938,2678.567367,379163,1158674138,3055.873431,2642.795454,385488,1233704537,3200.370795,2744.910956,,
EC,19818,64764628.78,3267.969966,2960.392468,20124,65172528.21,3238.547417,2880.161632,20857,68765339.14,3296.990897,2879.063641,,
EH,396191,1257772987,3174.663199,2905.036715,402463,1269951263,3155.448483,2883.988941,405803,1347638151,3320.917171,3010.32156,,
EN,107692,402653075.4,3738.932097,3333.997414,109534,406479321.6,3710.987653,3316.221596,110677,432002265.2,3903.270465,3447.605473,,
EX,223732,797275064.5,3563.527187,3168.438797,227639,806143556.5,3541.32445,3159.282925,230681,863087135.9,3741.474746,3310.385444,,
FK,121184,403324912.1,3328.202668,3011.76878,122103,403794610.9,3306.999917,2986.999115,122773,425882910.1,3468.864572,3098.750826,,
FY,116129,397506857.3,3422.976666,2991.124075,117229,396217984.5,3379.863212,2968.919333,118177,422407980.3,3574.367096,3087.371683,,
G,510395,1568901300,3073.896297,2837.011398,516898,1566011817,3029.63412,2792.909461,521171,1649733717,3165.436521,2891.539755,,
GL,246244,919208704,3732.918179,3293.775797,250041,929790287.7,3718.551308,3273.704038,252896,993587231.8,3928.837276,3423.751005,,
GU,272408,1130866853,4151.371667,3725.511289,277124,1141094567,4117.631701,3703.321639,280148,1221802526,4361.275204,3897.16454,,
HA,137808,507490644,3682.592041,3294.07724,141158,515867385.2,3654.538781,3274.338682,143223,548899271.1,3832.479916,3415.205131,,
HD,109155,364661193.8,3340.76491,2953.81246,110025,366545744.4,3331.476887,2943.628989,110415,389594117.7,3528.452816,3084.144058,,
HG,57184,214737128.1,3755.196001,3355.257014,58041,216627479.7,3732.318183,3360.263864,58734,233171024.7,3969.949683,3516.19978,,
HP,174158,682169036.8,3916.954931,3496.141281,177866,692627344.3,3894.096366,3488.270223,180551,745438099.7,4128.684414,3665.738141,,
HR,65514,251199922.7,3834.29378,3414.600992,66791,254415494.8,3809.128397,3387.145106,67590,271758150.3,4020.685757,3537.187225,,
HS,13105,55023826.02,4198.68951,3562.050251,13173,55760193.87,4232.915347,3543.626413,13209,58635067.22,4439.023939,3709.840084,,
HU,189032,604961311.5,3200.311648,2839.660897,190646,603882440.3,3167.558933,2801.183051,191581,640807344.2,3344.837662,2908.513399,,
HX,67480,230242168.7,3412.006057,2982.437721,68044,231137379,3396.881121,2963.124635,68495,246824439,3603.539513,3113.232968,,
IG,115187,432695437.6,3756.460691,3320.866998,116845,431127888.3,3689.741866,3278.805636,117952,459274496.5,3893.740645,3406.464465,,
IP,183951,672136775,3653.890302,3223.586797,189759,686591330.1,3618.228016,3193.296067,194235,750426236,3863.496466,3374.901875,,
IV,102899,385151509.9,3743.005374,3205.381911,104357,390311911.8,3740.160332,3194.196843,105149,408959732.3,3889.335441,3303.494747,,
KA,166509,532007842.9,3195.069594,2890.515022,167598,530708021.1,3166.553426,2860.470302,168581,556613374.9,3318.519868,2955.98275,,
KT,188816,781344130.4,4181.612831,3605.76112,191298,793422315.6,4350.790266,3940.155224,60919,205843998,3378.978611,3026.126038,,
KW,22422,91224287.59,4068.516974,3315.416041,22475,92902167.75,4133.578098,3367.03858,22580,96982630.97,4295.067802,3448.696276,,
KY,164122,530964173.3,3235.179764,2898.864839,165838,533095767.6,3214.557385,2878.493755,166877,560177741.6,3356.83013,2968.906201,,
L,368959,1183142549,3206.704671,2898.616526,372753,1175202972,3152.765967,2839.777865,375815,1238647682,3295.897401,2932.004673,,
LA,137823,468579419.7,3399.863736,3004.141595,139000,468244190.3,3368.66324,2973.189987,139664,498222994.6,3567.297189,3100.080026,,
LD,20061,76067584.96,3791.814215,3289.082854,20219,76397416.44,3778.496288,3274.278868,20394,80865346.26,3965.153783,3404.245634,,
LE,287112,966487990.5,3366.240319,2968.253836,297083,987989624,3325.635004,2936.376961,304948,1084305049,3555.70474,3087.492573,,
LL,220764,772515510.1,3499.282085,3101.15732,222526,772353052,3470.84409,3060.625508,223801,810412533.4,3621.130082,3146.056414,,
LN,95089,327033773.3,3439.238748,3021.515766,98175,334607956.6,3408.280689,2993.842494,100689,363178118.3,3606.929439,3123.893449,,
LS,321306,1077980027,3354.99501,2973.938419,324935,1083519034,3334.571634,2955.874617,326640,1156341626,3540.110291,3099.40058,,
LU,106285,366568289.1,3448.918372,3058.061503,108947,372118522.2,3415.592188,3039.470846,111081,400246594.3,3603.195815,3155.377654,,
M,483649,1606320923,3321.253477,2935.883757,491064,1614918103,3288.610248,2918.111742,498506,1719926924,3450.162934,3014.074841,,
ME,215715,772936281.7,3583.136461,3173.676396,220740,786142609.5,3561.396256,3168.468604,225631,849601733.6,3765.447716,3317.62495,,
MK,168223,589624243.6,3505.015625,3125.050679,174092,605300220.7,3476.89854,3101.620321,179725,668807092.6,3721.280248,3278.268408,,
ML,160882,538656077.2,3348.14384,3062.050381,162656,541295829.6,3327.856517,3035.983536,163947,569663397.5,3474.680217,3129.332694,,
N,299185,975203433.8,3259.533178,2894.476322,302866,975241885.1,3220.044129,2871.036469,305297,1032748330,3382.766059,2981.187894,,
NE,511060,1552042939,3036.90944,2736.133617,515149,1550434880,3009.682402,2709.639342,518480,1638838385,3160.851692,2804.069438,,
NG,366030,1211563656,3310.011902,2936.438822,376284,1235756536,3284.105983,2912.403713,384825,1335666382,3470.840984,3038.947286,,
NN,213777,740273813.3,3462.831892,3088.962581,220152,753365376.9,3422.02377,3048.796677,226025,821287485.5,3633.613474,3198.764041,,
NP,211218,686363023.2,3249.547971,2923.756449,213183,688382913.8,3229.070394,2907.36585,215012,730720699,3398.511241,3015.946987,,
NR,241713,834598971.3,3452.85099,3056.13679,248490,851883744,3428.241555,3043.262595,253715,925108251,3646.249733,3197.108836,,
NW,209397,736525030.7,3517.361904,3127.407511,212192,732236241.7,3450.819266,3091.638409,213423,768557561.6,3601.099983,3180.495545,,
OL,188801,619986959.2,3283.81184,2929.759387,189797,618975940.8,3261.2525,2901.655882,190747,651275617.9,3414.342653,3001.651016,,
OX,237550,905096973.2,3810.132491,3343.211829,242874,917193775.4,3776.418124,3314.095956,247306,986492925.2,3988.956698,3477.106317,,
PA,143651,467944418.5,3257.508952,2913.262696,145100,469462390.2,3235.440318,2882.486796,146060,493568944.2,3379.220486,2970.194527,,
PE,278989,1006992464,3609.434292,3174.650187,288183,1032287804,3582.056555,3157.358364,296391,1127174074,3802.996965,3310.337172,,
PH,73268,283626301.6,3871.080166,3347.130089,74114,284647585.5,3840.672282,3328.449964,74760,297859553.1,3984.21018,3426.479494,,
PL,215345,772264778.3,3586.174642,3226.513658,218499,782938919.7,3583.260883,3229.109341,221022,830878414.3,3759.256609,3356.09876,,
PO,344208,1182281333,3434.78749,3006.469777,347170,1183962534,3410.325012,2988.656072,349952,1252670585,3579.549725,3102.59148,,
PR,217495,749316063.1,3445.210525,3068.259156,220501,750503772.3,3403.62979,3043.684407,223334,807201194.4,3614.322917,3185.575231,,
RG,313043,1235663079,3947.263088,3576.101611,319192,1248592832,3911.729716,3557.940076,323672,1339790613,4139.346663,3735.095102,,
RH,183357,714427231.3,3896.372821,3499.678795,188075,734363869.6,3904.633096,3509.957758,192387,795022253,4132.411509,3696.554886,,
RM,173036,615876363.1,3559.238327,3178.898439,175659,619325084.6,3525.723616,3156.020362,177849,660613205.4,3714.461174,3273.587254,,
S,559289,1760250512,3147.300434,2786.760306,565806,1773504982,3134.475389,2773.374641,569123,1884153768,3310.626645,2881.155435,,
SA,313943,1043117528,3322.633498,2963.349079,316438,1046635671,3307.553678,2944.628442,318577,1108776764,3480.404311,3057.82954,,
SE,412226,1264886673,3068.430117,2661.391664,416378,1258995683,3023.684448,2638.230037,418356,1333361903,3187.146601,2763.661139,,
