POSTCODE,Type,2018,2019,2020
AL,Mean,3792.132119,3796.743062,4070.380703
B,Mean,3506.589853,3457.790067,3641.427013
BA,Mean,3637.012649,3617.600425,3835.464528
BB,Mean,3338.881173,3299.689015,3482.085619
BD,Mean,3364.164602,3329.583992,3521.801001
BH,Mean,3494.80742,3481.46592,3669.81369
BL,Mean,3333.521199,3303.972548,3474.062052
BN,Mean,3341.083539,3338.843853,3538.597401
BR,Mean,3788.467144,3765.567068,3991.9482
BS,Mean,3372.830167,3356.079976,3562.397129
CA,Mean,3475.737821,3448.23535,3654.33603
CB,Mean,3519.637341,3500.305496,3762.841935
CF,Mean,3213.967851,3181.041482,3348.545202
CH,Mean,3372.57228,3337.469732,3512.649874
CM,Mean,3922.362163,3887.077195,4150.174618
CO,Mean,3581.091501,3537.924174,3761.683271
CR,Mean,3612.339699,3578.570344,3778.512281
CT,Mean,3346.334282,3336.905351,3533.98531
CV,Mean,3449.719227,3395.121169,3588.451133
CW,Mean,3548.074034,3517.340193,3724.569979
DA,Mean,3549.883424,3522.228729,3726.016879
DD,Mean,3369.739729,3306.448571,3444.032046
DE,Mean,3339.245243,3313.605489,3508.724915
DG,Mean,3713.182167,3669.951028,3857.178738
DH,Mean,3006.100631,2987.70201,3145.99436
DL,Mean,3278.418925,3254.248798,3452.081047
DN,Mean,3349.289812,3322.991168,3503.954723
DT,Mean,3551.1259,3530.378121,3714.93482
DY,Mean,3527.661462,3501.759908,3670.8456
E,Mean,3122.646938,3055.873431,3200.370795
EC,Mean,3267.969966,3238.547417,3296.990897
EH,Mean,3174.663199,3155.448483,3320.917171
EN,Mean,3738.932097,3710.987653,3903.270465
EX,Mean,3563.527187,3541.32445,3741.474746
FK,Mean,3328.202668,3306.999917,3468.864572
FY,Mean,3422.976666,3379.863212,3574.367096
G,Mean,3073.896297,3029.63412,3165.436521
GL,Mean,3732.918179,3718.551308,3928.837276
GU,Mean,4151.371667,4117.631701,4361.275204
HA,Mean,3682.592041,3654.538781,3832.479916
HD,Mean,3340.76491,3331.476887,3528.452816
HG,Mean,3755.196001,3732.318183,3969.949683
HP,Mean,3916.954931,3894.096366,4128.684414
HR,Mean,3834.29378,3809.128397,4020.685757
HS,Mean,4198.68951,4232.915347,4439.023939
HU,Mean,3200.311648,3167.558933,3344.837662
HX,Mean,3412.006057,3396.881121,3603.539513
IG,Mean,3756.460691,3689.741866,3893.740645
IP,Mean,3653.890302,3618.228016,3863.496466
IV,Mean,3743.005374,3740.160332,3889.335441
KA,Mean,3195.069594,3166.553426,3318.519868
KT,Mean,4181.612831,4350.790266,3378.978611
KW,Mean,4068.516974,4133.578098,4295.067802
KY,Mean,3235.179764,3214.557385,3356.83013
L,Mean,3206.704671,3152.765967,3295.897401
LA,Mean,3399.863736,3368.66324,3567.297189
LD,Mean,3791.814215,3778.496288,3965.153783
LE,Mean,3366.240319,3325.635004,3555.70474
LL,Mean,3499.282085,3470.84409,3621.130082
LN,Mean,3439.238748,3408.280689,3606.929439
LS,Mean,3354.99501,3334.571634,3540.110291
LU,Mean,3448.918372,3415.592188,3603.195815
M,Mean,3321.253477,3288.610248,3450.162934
ME,Mean,3583.136461,3561.396256,3765.447716
MK,Mean,3505.015625,3476.89854,3721.280248
ML,Mean,3348.14384,3327.856517,3474.680217
N,Mean,3259.533178,3220.044129,3382.766059
NE,Mean,3036.90944,3009.682402,3160.851692
NG,Mean,3310.011902,3284.105983,3470.840984
NN,Mean,3462.831892,3422.02377,3633.613474
NP,Mean,3249.547971,3229.070394,3398.511241
NR,Mean,3452.85099,3428.241555,3646.249733
NW,Mean,3517.361904,3450.819266,3601.099983
OL,Mean,3283.81184,3261.2525,3414.342653
OX,Mean,3810.132491,3776.418124,3988.956698
PA,Mean,3257.508952,3235.440318,3379.220486
PE,Mean,3609.434292,3582.056555,3802.996965
PH,Mean,3871.080166,3840.672282,3984.21018
PL,Mean,3586.174642,3583.260883,3759.256609
PO,Mean,3434.78749,3410.325012,3579.549725
PR,Mean,3445.210525,3403.62979,3614.322917
RG,Mean,3947.263088,3911.729716,4139.346663
RH,Mean,3896.372821,3904.633096,4132.411509
RM,Mean,3559.238327,3525.723616,3714.461174
S,Mean,3147.300434,3134.475389,3310.626645
SA,Mean,3322.633498,3307.553678,3480.404311
SE,Mean,3068.430117,3023.684448,3187.146601
SG,Mean,3674.305486,3651.926633,3896.907004
SK,Mean,3526.861289,3509.531135,3715.177934
SL,Mean,4114.823221,4101.345207,4322.33942
SM,Mean,3547.634783,3553.924068,3750.941498
SN,Mean,3720.97808,3707.677405,3899.431598
SO,Mean,3630.403714,3613.303937,3824.413483
SP,Mean,3884.76979,3850.659342,4054.62369
SR,Mean,2936.979567,2912.570639,3039.102885
SS,Mean,3676.709736,3650.883893,3876.128884
ST,Mean,3322.707666,3306.254389,3463.684683
SW,Mean,3500.565498,3438.970111,3582.50662
SY,Mean,3769.252343,3758.688327,3970.747845
TA,Mean,3614.258041,3592.794309,3797.188454
TD,Mean,3579.903247,3552.996066,3730.307222
TF,Mean,3433.436779,3405.626841,3579.975118
TN,Mean,3929.025294,3917.092105,4165.399397
TQ,Mean,3523.909199,3522.275851,3714.817035
TR,Mean,3943.713323,3984.332661,4150.973832
TS,Mean,3105.133801,3056.607809,3224.151257
TW,Mean,3671.551518,3658.673358,3838.235328
UB,Mean,3521.52124,3463.182516,3611.641418
W,Mean,3514.290375,3423.533823,3517.572831
WA,Mean,3415.6747,3376.116912,3573.915897
WC,Mean,3020.462939,2964.894242,2970.77715
WD,Mean,3867.175396,3848.447291,4071.048894
WF,Mean,3152.277244,3129.978762,3309.921512
WN,Mean,3278.804571,3239.875455,3408.168093
WR,Mean,3724.70596,3688.611909,3890.097263
WS,Mean,3520.371889,3498.186832,3678.955157
WV,Mean,3466.213064,3430.623737,3602.09809
YO,Mean,3463.681781,3438.327646,3661.049498
ZE,Mean,4237.290169,4343.887866,4578.204128
AB,Medium,3245.626325,3182.2631,3343.870736
AL,Medium,3403.998611,3419.851957,3648.548972
B,Medium,3115.519473,3073.860748,3193.826533
BA,Medium,3209.430993,3193.311211,3360.566784
BB,Medium,2971.347931,2940.047106,3064.31312
BD,Medium,2942.977631,2924.409382,3034.474026
BH,Medium,3049.15848,3036.276779,3166.256209
BL,Medium,2971.583291,2955.65777,3072.375993
BN,Medium,2942.099397,2958.816291,3102.952271
BR,Medium,3362.601679,3358.768316,3520.949649
BS,Medium,3016.694965,2995.420048,3154.18594
CA,Medium,3059.919508,3040.46549,3179.280582
CB,Medium,3121.568372,3114.360698,3322.100632
CF,Medium,2868.709723,2846.124608,2962.795599
CH,Medium,3049.936287,3012.384577,3134.443575
CM,Medium,3526.432036,3505.442097,3698.454883
CO,Medium,3134.503458,3109.393338,3260.788663
CR,Medium,3259.493486,3242.07698,3390.042581
CT,Medium,2898.693265,2897.35567,3035.791954
CV,Medium,3057.271758,3026.729983,3161.384544
CW,Medium,3203.761137,3165.548922,3320.170719
DA,Medium,3169.363995,3143.526145,3290.935621
DD,Medium,3048.267695,2990.610104,3070.57178
DE,Medium,2941.517305,2921.662111,3045.737179
DG,Medium,3227.116903,3196.411895,3292.590499
DH,Medium,2681.485472,2654.422623,2746.037449
DL,Medium,2918.634028,2891.547308,3029.458581
DN,Medium,2966.054271,2948.985958,3051.133286
DT,Medium,3110.319096,3092.61176,3213.359607
DY,Medium,3128.840626,3108.403266,3215.811996
E,Medium,2678.567367,2642.795454,2744.910956
EC,Medium,2960.392468,2880.161632,2879.063641
EH,Medium,2905.036715,2883.988941,3010.32156
EN,Medium,3333.997414,3316.221596,3447.605473
EX,Medium,3168.438797,3159.282925,3310.385444
FK,Medium,3011.76878,2986.999115,3098.750826
FY,Medium,2991.124075,2968.919333,3087.371683
G,Medium,2837.011398,2792.909461,2891.539755
GL,Medium,3293.775797,3273.704038,3423.751005
GU,Medium,3725.511289,3703.321639,3897.16454
HA,Medium,3294.07724,3274.338682,3415.205131
HD,Medium,2953.81246,2943.628989,3084.144058
HG,Medium,3355.257014,3360.263864,3516.19978
HP,Medium,3496.141281,3488.270223,3665.738141
HR,Medium,3414.600992,3387.145106,3537.187225
HS,Medium,3562.050251,3543.626413,3709.840084
HU,Medium,2839.660897,2801.183051,2908.513399
HX,Medium,2982.437721,2963.124635,3113.232968
IG,Medium,3320.866998,3278.805636,3406.464465
IP,Medium,3223.586797,3193.296067,3374.901875
IV,Medium,3205.381911,3194.196843,3303.494747
KA,Medium,2890.515022,2860.470302,2955.98275
KT,Medium,3605.76112,3940.155224,3026.126038
KW,Medium,3315.416041,3367.03858,3448.696276
KY,Medium,2898.864839,2878.493755,2968.906201
L,Medium,2898.616526,2839.777865,2932.004673
LA,Medium,3004.141595,2973.189987,3100.080026
LD,Medium,3289.082854,3274.278868,3404.245634
LE,Medium,2968.253836,2936.376961,3087.492573
LL,Medium,3101.15732,3060.625508,3146.056414
LN,Medium,3021.515766,2993.842494,3123.893449
LS,Medium,2973.938419,2955.874617,3099.40058
LU,Medium,3058.061503,3039.470846,3155.377654
M,Medium,2935.883757,2918.111742,3014.074841
ME,Medium,3173.676396,3168.468604,3317.62495
MK,Medium,3125.050679,3101.620321,3278.268408
ML,Medium,3062.050381,3035.983536,3129.332694
N,Medium,2894.476322,2871.036469,2981.187894
NE,Medium,2736.133617,2709.639342,2804.069438
NG,Medium,2936.438822,2912.403713,3038.947286
NN,Medium,3088.962581,3048.796677,3198.764041
NP,Medium,2923.756449,2907.36585,3015.946987
NR,Medium,3056.13679,3043.262595,3197.108836
NW,Medium,3127.407511,3091.638409,3180.495545
OL,Medium,2929.759387,2901.655882,3001.651016
OX,Medium,3343.211829,3314.095956,3477.106317
PA,Medium,2913.262696,2882.486796,2970.194527
PE,Medium,3174.650187,3157.358364,3310.337172
PH,Medium,3347.130089,3328.449964,3426.479494
PL,Medium,3226.513658,3229.109341,3356.09876
PO,Medium,3006.469777,2988.656072,3102.59148
PR,Medium,3068.259156,3043.684407,3185.575231
RG,Medium,3576.101611,3557.940076,3735.095102
RH,Medium,3499.678795,3509.957758,3696.554886
RM,Medium,3178.898439,3156.020362,3273.587254
S,Medium,2786.760306,2773.374641,2881.155435
SA,Medium,2963.349079,2944.628442,3057.82954
SE,Medium,2661.391664,2638.230037,2763.661139
SG,Medium,3311.031925,3299.153529,3509.873532
SK,Medium,3179.692047,3158.626355,3312.678908
SL,Medium,3725.368859,3704.232543,3887.286537
SM,Medium,3129.337203,3148.609779,3299.272206
SN,Medium,3330.61395,3318.080059,3474.772421
SO,Medium,3214.433264,3208.226964,3353.177004
SP,Medium,3460.570265,3436.281974,3614.952259
SR,Medium,2629.758561,2601.877245,2652.947341
SS,Medium,3275.910593,3253.91719,3409.16081
ST,Medium,2965.146178,2939.256573,3033.187162
SW,Medium,3056.142819,3025.644171,3138.547044
SY,Medium,3318.705855,3313.525421,3459.56748
TA,Medium,3203.971576,3191.079055,3333.310709
TD,Medium,3123.699241,3116.989646,3234.397789
TF,Medium,3093.953564,3061.298085,3177.594009
TN,Medium,3499.051389,3507.598289,3692.754925
TQ,Medium,3058.710291,3053.612544,3181.13019
TR,Medium,3434.238844,3465.915515,3607.576081
TS,Medium,2781.615133,2740.034486,2827.037684
TW,Medium,3205.151705,3197.735772,3333.449134
