POSTCODE,Year,Meter,Total,Mean,Medium,,,,,,,,,,
LU,2019,108947,372118522.2,3415.592188,3039.470846,,,,,,,,,,
M,2019,491064,1614918103,3288.610248,2918.111742,,,,,,,,,,
ME,2019,220740,786142609.5,3561.396256,3168.468604,,,,,,,,,,
MK,2019,174092,605300220.7,3476.89854,3101.620321,,,,,,,,,,
ML,2019,162656,541295829.6,3327.856517,3035.983536,,,,,,,,,,
N,2019,302866,975241885.1,3220.044129,2871.036469,,,,,,,,,,
NE,2019,515149,1550434880,3009.682402,2709.639342,,,,,,,,,,
NG,2019,376284,1235756536,3284.105983,2912.403713,,,,,,,,,,
NN,2019,220152,753365376.9,3422.02377,3048.796677,,,,,,,,,,
NP,2019,213183,688382913.8,3229.070394,2907.36585,,,,,,,,,,
NR,2019,248490,851883744,3428.241555,3043.262595,,,,,,,,,,
NW,2019,212192,732236241.7,3450.819266,3091.638409,,,,,,,,,,
OL,2019,189797,618975940.8,3261.2525,2901.655882,,,,,,,,,,
OX,2019,242874,917193775.4,3776.418124,3314.095956,,,,,,,,,,
PA,2019,145100,469462390.2,3235.440318,2882.486796,,,,,,,,,,
PE,2019,288183,1032287804,3582.056555,3157.358364,,,,,,,,,,
PH,2019,74114,284647585.5,3840.672282,3328.449964,,,,,,,,,,
PL,2019,218499,782938919.7,3583.260883,3229.109341,,,,,,,,,,
PO,2019,347170,1183962534,3410.325012,2988.656072,,,,,,,,,,
PR,2019,220501,750503772.3,3403.62979,3043.684407,,,,,,,,,,
RG,2019,319192,1248592832,3911.729716,3557.940076,,,,,,,,,,
RH,2019,188075,734363869.6,3904.633096,3509.957758,,,,,,,,,,
RM,2019,175659,619325084.6,3525.723616,3156.020362,,,,,,,,,,
S,2019,565806,1773504982,3134.475389,2773.374641,,,,,,,,,,
SA,2019,316438,1046635671,3307.553678,2944.628442,,,,,,,,,,
SE,2019,416378,1258995683,3023.684448,2638.230037,,,,,,,,,,
SG,2019,139780,510466304.8,3651.926633,3299.153529,,,,,,,,,,
SK,2019,254939,894716358.1,3509.531135,3158.626355,,,,,,,,,,
SL,2019,141878,581890655.2,4101.345207,3704.232543,,,,,,,,,,
SM,2019,77789,276456199.3,3553.924068,3148.609779,,,,,,,,,,
SN,2019,191611,710431775.2,3707.677405,3318.080059,,,,,,,,,,
SO,2019,270254,976509842.1,3613.303937,3208.226964,,,,,,,,,,
SP,2019,95977,369574731.7,3850.659342,3436.281974,,,,,,,,,,
SR,2019,110381,321492459.7,2912.570639,2601.877245,,,,,,,,,,
SS,2019,179326,654698404.9,3650.883893,3253.91719,,,,,,,,,,
ST,2019,262408,867587601.6,3306.254389,2939.256573,,,,,,,,,,
SW,2019,389452,1339313788,3438.970111,3025.644171,,,,,,,,,,
SY,2019,131594,494620831.7,3758.688327,3313.525421,,,,,,,,,,
TA,2019,132149,474784175.2,3592.794309,3191.079055,,,,,,,,,,
TD,2019,49391,175486028.7,3552.996066,3116.989646,,,,,,,,,,
TF,2019,89132,303550331.6,3405.626841,3061.298085,,,,,,,,,,
TN,2019,232385,910273448.8,3917.092105,3507.598289,,,,,,,,,,
TQ,2019,121991,429685953.3,3522.275851,3053.612544,,,,,,,,,,
TR,2019,119136,474677455.8,3984.332661,3465.915515,,,,,,,,,,
TS,2019,261757,800088490.4,3056.607809,2740.034486,,,,,,,,,,
TW,2019,185418,678383896.8,3658.673358,3197.735772,,,,,,,,,,
UB,2019,129722,449250962.4,3463.182516,3038.489263,,,,,,,,,,
W,2019,235882,807550005.3,3423.533823,2955.345857,,,,,,,,,,
WA,2019,266694,900390123.7,3376.116912,3116.245236,,,,,,,,,,
WC,2019,15441,45780932,2964.894242,2511.902566,,,,,,,,,,
WD,2019,85542,329203878.2,3848.447291,3465.599397,,,,,,,,,,
WF,2019,221925,694620536.8,3129.978762,2779.092701,,,,,,,,,,
WN,2019,131109,424776831,3239.875455,2901.195878,,,,,,,,,,
WR,2019,116983,431504886.9,3688.611909,3272.830493,,,,,,,,,,
WS,2019,175214,612931307.6,3498.186832,3075.558118,,,,,,,,,,
WV,2019,152160,522003707.8,3430.623737,3060.421071,,,,,,,,,,
YO,2019,239413,823180336.6,3438.327646,2969.898893,,,,,,,,,,
ZE,2019,8634,37505127.83,4343.887866,3377.138202,,,,,,,,,,
AB,2020,230329,839004905.4,3642.63686,3343.870736,,,,,,,,,,
AL,2020,88300,359414616,4070.380703,3648.548972,,,,,,,,,,
B,2020,698514,2543587748,3641.427013,3193.826533,,,,,,,,,,
BA,2020,181848,697471553.6,3835.464528,3360.566784,,,,,,,,,,
BB,2020,202457,704972608.3,3482.085619,3064.31312,,,,,,,,,,
BD,2020,222982,785298230.9,3521.801001,3034.474026,,,,,,,,,,
BH,2020,238788,876307471.3,3669.81369,3166.256209,,,,,,,,,,
BL,2020,158316,549999607.9,3474.062052,3072.375993,,,,,,,,,,
BN,2020,292983,1036748882,3538.597401,3102.952271,,,,,,,,,,
BR,2020,118345,472427109.7,3991.9482,3520.949649,,,,,,,,,,
BS,2020,396422,1412212595,3562.397129,3154.18594,,,,,,,,,,
CA,2020,136288,498042148.8,3654.33603,3179.280582,,,,,,,,,,
CB,2020,143317,539279217.7,3762.841935,3322.100632,,,,,,,,,,
CF,2020,435326,1457708789,3348.545202,2962.795599,,,,,,,,,,
CH,2020,288724,1014186322,3512.649874,3134.443575,,,,,,,,,,
CM,2020,227395,943728957.3,4150.174618,3698.454883,,,,,,,,,,
CO,2020,146853,552414473.4,3761.683271,3260.788663,,,,,,,,,,
CR,2020,147216,556257463.9,3778.512281,3390.042581,,,,,,,,,,
CT,2020,184453,651854192.5,3533.98531,3035.791954,,,,,,,,,,
CV,2020,273203,980375615,3588.451133,3161.384544,,,,,,,,,,
CW,2020,140392,522899828.4,3724.569979,3320.170719,,,,,,,,,,
DA,2020,166706,621149369.9,3726.016879,3290.935621,,,,,,,,,,
DD,2020,128087,441135732.7,3444.032046,3070.57178,,,,,,,,,,
DE,2020,234084,821336363,3508.724915,3045.737179,,,,,,,,,,
DG,2020,63093,243360978.1,3857.178738,3292.590499,,,,,,,,,,
DH,2020,140529,442103441.4,3145.99436,2746.037449,,,,,,,,,,
DL,2020,159581,550886545.6,3452.081047,3029.458581,,,,,,,,,,
DN,2020,320507,1123042016,3503.954723,3051.133286,,,,,,,,,,
DT,2020,92690,344337308.4,3714.93482,3213.359607,,,,,,,,,,
DY,2020,163619,600620086.3,3670.8456,3215.811996,,,,,,,,,,
E,2020,385488,1233704537,3200.370795,2744.910956,,,,,,,,,,
EC,2020,20857,68765339.14,3296.990897,2879.063641,,,,,,,,,,
EH,2020,405803,1347638151,3320.917171,3010.32156,,,,,,,,,,
EN,2020,110677,432002265.2,3903.270465,3447.605473,,,,,,,,,,
